Gene Name,Abrevation,Accession_ID,Gene_Ch,Gene_Start,Gene_End,Gene_mid,Gene_jitter,Organism,Cultivar,9k-SNPs_in this gene,SNP_Coding/non-coding,SNP_chr,SNP_physical_POS,Notes
,,,,,,,,,,,,,,
gigantea-like protein ,GI,AY740524.1,3H,67424854,67429296,67427075,,Hordeum vulgare subsp. vulgare ,Morex,NO,NA,NA,NA,
,,,,,,,,,,,,,,
FT-like protein ,FT2,DQ297407.1,3H,119251483,119256410,119253946.5,,Hordeum vulgare subsp. vulgare ,Morex ,BK_06,NA,chr3H,119252842,
,,,,,,,,,,,,,,
CMF1,CMF1,JQ791213.1,3H,620457253,620457677,610457253,,Hordeum vulgare subsp. vulgare ,OWB-D ,NO,NA,NA,NA,
,,,,,,,,,,,,,,
HvLUX/eps3L/ eam10,HvLUX/eps3L,KC668273.1,3H,692191439,692192264,682191439,,Hordeum vulgare subsp. vulgare ,NO,11_11320,NA,chr3H,692191157,283 bp away from interval
,,,,,,,,,,,,,,
PhyA,PhyA,DQ201141.1,4H,23599413,23606044,24606044,,Hordeum vulgare subsp. vulgare,Kompolti korai,12_30863,non-synonymous,chr4H,23601200,
,,,,,,,,,,,,,,
PRR59,PRR59,JQ791228.1,4H,105914973,105916236,105915604.5,,Hordeum vulgare subsp. vulgare,OWB-D ,NO,NA,NA,NA,
,,,,,,,,,,,,,,
phytochrome B ,PhyB,DQ201142.1,4H,443994328,443997099,443995713.5,,Hordeum vulgare subsp. vulgare ,Dicktoo ,12_30866,NA,chr4H,443996620,
,,,,,,,,,,,,,,
PRR73 ,PRR73 ,JQ791230.1,4H,482662238,482663415,482662826.5,,Hordeum vulgare subsp. vulgare ,OWB-D ,SCRI_RS_123275,NA,chr4H,482658647,3592 bp away from interval
,,,,,,,,,,,,,,
Vrn-H2/HvZCCT-Ha/b/c,Vrn-H2/HvZCCT-Ha/b/c,AK365195.1,4H,637486408,637486878,636486408,,Hordeum vulgare subsp. vulgare,Haruna Nijo,SCRI_RS_151357,non-coding,chr4H,637486511,ZCCT-Ha
,,,,,,,,,,,,,,
CONSTANS-like protein3,CO3,AF490473.1,5H,399885855,399887137,399886496,,Hordeum vulgare subsp. vulgare,_Igri,NO,NA,NA,NA,
,,,,,,,,,,,,,,
PRR95,PRR95,JQ791232.1,5H,565157926,565158584,565158255,,Hordeum vulgare,OWB-D,12_30056,NA,chr5H,565156511,1050 bp away from interval
,,,,,,,,,,,,,,
 VRN-H1 & MITE-like transposon and retrotransposon Lolaog solo LTR,Vrn-H1,EF591648.1,5H,599127174,599131915,599129544.5,,Hordeum vulgare subsp. vulgare,Xenia,12_30930,NA,chr5H,599128110,
,,,,,,,,,,,,,,
CMF3 ,CMF3 ,JQ791216.1,6H,64746998,64747613,64747305.5,,Hordeum vulgare subsp. vulgare ,OWB-R ,12_31274,NA,chr6H,64747230,
,,,,,,,,,,,,,,
CONSTANS-like protein CO7 ,CO7,AY082963.1,6H,124453441,124454074,124453757.5,,Hordeum vulgare subsp. vulgare,CI16151 (Mla6),NO,NA,NA,NA,
,,,,,,,,,,,,,,
HvCry1a,HvCry1a,DQ201149.1,6H,302446947,302450770,302448858.5,,Hordeum vulgare subsp. vulgare,Dicktoo ,12_30856,NA,chr6H,302450459,
,,,,,,,,,,,,,,
HvPRR1/HvTOC1,HvPRR1/HvTOC1,JQ791234.1,6H,374867742,374868731,374868236.5,,Hordeum vulgare subsp. vulgare,OWB-D ,SCRI_RS_137464,NA,chr6H,374867096,647 bp away from interval
,,,,,,,,,,,,,,
CONSTANS-like protein2,CO2,AF490470.1,6H,504461570,504463261,504462415.5,,Hordeum vulgare subsp. vulgare ,Morex ,NO,NA,NA,NA,
,,,,,,,,,,,,,,
Vrn-H3/HvFT1,Vrn-H3/HvFT1,DQ100327.1,7H,39679854,39682299,39681076.5,,Hordeum vulgare subsp. vulgare,Morex,12_30894,NA,chr7H,39680702,
,,,,,,,,,,,,,,
CONSTANS-like protein CO8 ,CO8 ,AY082964.1,7H,49216390,49217363,49216876.5,,Hordeum vulgare subsp. vulgare ,_Igri,NO,NA,NA,NA,
,,,,,,,,,,,,,,
CONSTANS-like protein1,CO1,AF490468.1,7H,127676004,127680075,127678039.5,,Hordeum vulgare subsp. vulgare ,Morex ,SCRI_RS_158126,NA,chr7H,127680000,
,,,,,,,,,,,,,,
VRT-2,VRT-2,AK355370.1,7H,428682616,428682842,428682729,,Hordeum vulgare subsp. vulgare,Haruna Nijo,12_31055,NA,NA,428681743,874 bp away from interval
,,,,,,,,,,,,,,
CMF7 ,CMF7 ,JQ791222.1,7H,592903242,592903861,592903551.5,,Hordeum vulgare subsp. vulgare ,OWB-D ,SCRI_RS_143884,NA,chr7H,592904911,1050 bp away from interval
,,,,,,,,,,,,,,
CO18/R gene,CO18,JQ791251.1,UN,10971162,10971896,10971529,,Hordeum vulgare subsp. vulgare,OWB-R ,NO,NA,NA,NA,
,,,,,,,,,,,,,,
CO15/ D gene,CO15,JQ791246.1,UN,110178290,110178881,110178585.5,,Hordeum vulgare subsp. vulgare,OWB-D ,NO,NA,NA,NA,
,,,,,,,,,,,,,,
CONSTANS-like protein CO6 ,CO6,AY082960.1,UN,114484141,114484665,114484403,,Hordeum vulgare subsp. vulgare,_Igri,NO,NA,NA,NA,
